inquiry,discipline,traditional,progressive,readingscore,mathscore,pocschool,pocsd,povertyschool,povertysd,students,age,expulsions,titlei,ethnicisolated,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity
0.01179554390563565,0.0008733624454148474,0.0,0.00043687199650502403,90-94,85-89,0.14746543778801846,-91.47,-0.004608294930875576,8.89,217.0,12.0,,1.0,0,30.2,815.6386,5.73,6.91,0.0,310,92.0
0.004177366889231296,0.004142275170312555,0.0007190795781399807,0.00020542317173377161,40-59,21-39,0.3157894736842105,-75.31,0.4473684210526316,10.57,38.0,3.0,0.0,0.0,0,24.68,24.88947000000001,8.44,1.43,0.0,18,0.0
0.007374631268436576,0.0,0.0,0.002958579881656805,21-39,LE20,0.18309859154929575,-87.95,0.0,13.97,71.0,11.0,0.0,1.0,0,13.52,2167.8720000000008,10.18,1.51,0.0,1,0.0
0.015015015015015015,0.0,0.0,0.0,,,0.2222222222222222,-81.48,0.3703703703703704,9.52,54.0,0.0,0.0,,0,29.5,3431.526,7.35,11.46,0.017045454545454544,203,54.0
0.011876484560570071,0.0010956902848794745,0.0006390359685959465,0.0001826150474799123,,,1.0,-47.68,0.923529411764706,17.63,170.0,0.0,0.0,,1,36.55,11938.74,10.94,20.86,0.00847457627118644,19,2.0
0.010772076903262066,0.0001403902849922785,0.00025738218915251067,0.00042134831460674153,55-59,35-39,0.08974358974358974,-92.18,0.4846153846153846,9.31,390.0,1.0,0.0,1.0,0,42.64000000000001,2119.012,6.17,6.09,0.0,1,1.0
0.0125,0.000649545318277206,9.992505620784411e-05,0.0002498500899460322,65,47,0.2445302445302445,-87.97,0.4697554697554698,14.94,777.0,10.0,0.0,1.0,0,18.06,961.9478,8.25,6.48,0.037037037037037035,196,27.0
0.0019692576992505874,0.00043749316416931004,0.00010937329104232748,5.468963631391847e-05,90-94,GE90,0.9197530864197532,-64.88,0.5740740740740741,19.46,324.0,7.0,7.0,1.0,0,29.83,454.1875,6.16,27.91,0.0,8,0.0
0.003755476736907993,0.0002086811352253757,0.0010440593025683855,0.0002086811352253757,GE80,LT50,0.5052631578947369,-57.77,-0.010526315789473684,17.16,95.0,17.0,,1.0,0,22.3,8088.882,9.64,25.68,0.0,1,1.0
0.0042345966546686415,0.001270378996400593,0.0002117298327334321,0.0,40-44,40-44,0.4166666666666667,-74.45,0.2559523809523809,9.72,168.0,4.0,0.0,,0,11.56,29.65348,9.37,17.88,0.0,69,6.0
0.022727272727272728,0.0,0.0038022813688212923,0.0,11-19,LE10,0.9655172413793104,-54.86,0.0,10.67,261.0,1.0,0.0,1.0,0,43.1,1931.4470000000001,7.85,14.67,0.0,11,0.0
0.0033358605003790754,0.0010618932038834947,0.0,0.00030326004548900695,50-54,40-44,0.9947916666666666,-32.0,0.9010416666666666,27.07,192.0,4.0,,1.0,1,10.4,17428.72,8.13,35.13,0.0,43,1.0
0.0017376194613379662,0.0017373678876502108,0.00014478065730418412,0.0,25-29,6-9,0.825136612021858,-71.37,0.639344262295082,14.43,183.0,5.0,0.0,1.0,0,33.06,580.1303,7.3,10.49,0.0,8,4.0
0.0006285355122564423,0.0,0.0,0.0,PS,PS,1.0,-11.64,1.0,27.86,30.0,10.0,0.0,1.0,1,10.22,,19.91,0.3,0.0,4,0.0
0.008654572208561641,0.0005222740197690388,0.00030951367663558635,0.0006579456614289036,60-79,GE50,0.2222222222222222,-71.93,0.3611111111111111,5.07,324.0,4.0,0.0,0.0,0,44.84,744.6627,5.22,4.34,0.027777777777777776,3,0.0
0.0,0.0,0.0,0.0,31,26,0.9875,-54.86,0.5825,10.67,400.0,8.0,4.0,1.0,0,43.1,1931.4470000000001,7.85,14.67,0.0,3,0.0
0.0017108639863130876,0.006273167949814658,0.0004277769855981748,0.0,25-29,20-24,0.9763779527559056,-75.24,0.9133858267716536,25.56,127.0,17.0,,1.0,0,13.44,4313.245,8.47,15.83,0.0,5,0.0
0.022151898734177212,0.0026260504201680666,0.0,0.0,64,33,0.7351190476190477,-66.03,0.5535714285714286,13.59,336.0,6.0,,1.0,0,17.319999999999997,889.6855,8.44,12.47,0.0,11,4.0
0.003381358423992944,0.0020600353148911123,0.0002204909598706453,7.349698662354842e-05,45-49,50-54,0.8683274021352313,-75.95,0.7580071174377224,12.21,281.0,1.0,0.0,1.0,0,45.72000000000001,4335.309,5.39,15.86,0.009708737864077669,32,5.0
